id,descFeedback,rate,product_id,user_id
1,Very good quality.,4,1034,2
2,Will buy again!,5,60,2
3,Excellent product!,5,3829,2
4,Will buy again!,1,4824,2
5,Not bad.,1,924,2
6,Will buy again!,5,6777,2
7,Very good quality.,5,4742,2
8,Excellent product!,4,6246,2
9,Excellent product!,3,3735,2
10,Very good quality.,1,6027,2
11,Could be better.,2,1907,2
12,Excellent product!,3,403,2
13,Very good quality.,5,6734,2
14,Could be better.,3,4837,2
15,Will buy again!,4,1490,2
16,Will buy again!,5,4946,2
17,Will buy again!,4,6444,2
18,Very good quality.,3,3550,2
19,Will buy again!,3,6943,2
20,Will buy again!,3,3896,2
21,Excellent product!,2,5950,2
22,Excellent product!,4,6638,2
23,Very good quality.,1,4525,2
24,Very good quality.,5,5416,2
25,Could be better.,4,3158,2
26,Could be better.,3,2825,2
27,Not bad.,5,1149,2
28,Not bad.,4,3087,2
29,Very good quality.,1,142,2
30,Will buy again!,1,2082,2
31,Did not like it.,1,974,2
32,Could be better.,3,53,2
33,Very good quality.,3,1917,2
34,Will buy again!,4,2932,2
35,Excellent product!,2,5369,2
36,Did not like it.,5,5779,2
37,Could be better.,1,3667,2
38,Did not like it.,5,2459,2
39,Excellent product!,3,4264,2
40,Did not like it.,3,4825,2
41,Excellent product!,5,3632,2
42,Very good quality.,4,2690,2
43,Not bad.,3,4266,2
44,Excellent product!,1,1347,2
45,Could be better.,2,2976,2
46,Very good quality.,3,1701,2
47,Will buy again!,1,1503,2
48,Could be better.,5,580,2
49,Will buy again!,3,4064,2
50,Very good quality.,4,4089,2
51,Will buy again!,5,6326,2
52,Very good quality.,4,3709,2
53,Excellent product!,2,2243,2
54,Excellent product!,4,5549,2
55,Not bad.,2,2595,2
56,Will buy again!,1,1366,2
57,Excellent product!,3,4995,2
58,Not bad.,1,5906,2
59,Not bad.,4,4119,2
60,Excellent product!,3,4458,2
61,Not bad.,5,3020,2
62,Will buy again!,1,1119,2
63,Will buy again!,3,6894,2
64,Excellent product!,5,1598,2
65,Did not like it.,3,714,2
66,Could be better.,4,4636,2
67,Could be better.,1,2252,2
68,Not bad.,2,1658,2
69,Did not like it.,2,5361,2
70,Did not like it.,5,4181,2
71,Very good quality.,5,4744,2
72,Will buy again!,2,5434,2
73,Excellent product!,5,1391,2
74,Very good quality.,3,5963,2
75,Did not like it.,4,3379,2
76,Could be better.,2,6934,2
77,Will buy again!,2,2274,2
78,Could be better.,3,5659,2
79,Not bad.,4,6893,2
80,Did not like it.,4,6578,2
81,Did not like it.,5,1340,2
82,Did not like it.,3,154,2
83,Will buy again!,2,469,2
84,Could be better.,4,118,2
85,Not bad.,5,4531,2
86,Will buy again!,3,249,2
87,Not bad.,4,150,2
88,Will buy again!,2,6696,2
89,Will buy again!,5,6238,2
90,Not bad.,1,1863,2
91,Excellent product!,1,4151,2
92,Excellent product!,1,1761,2
93,Did not like it.,3,1515,2
94,Will buy again!,1,826,2
95,Very good quality.,3,4548,2
96,Could be better.,1,172,2
97,Did not like it.,1,1603,2
98,Excellent product!,4,1964,2
99,Very good quality.,1,4679,2
100,Did not like it.,4,3949,2
101,Very good quality.,2,6733,2
102,Excellent product!,5,1549,2
103,Did not like it.,5,1435,2
104,Not bad.,2,5408,2
105,Not bad.,4,64,2
106,Did not like it.,2,566,2
107,Very good quality.,3,4259,2
108,Excellent product!,3,1505,2
109,Did not like it.,5,905,2
110,Will buy again!,4,2923,2
111,Did not like it.,4,717,2
112,Excellent product!,4,2415,2
113,Will buy again!,3,1266,2
114,Excellent product!,4,2537,2
115,Will buy again!,5,6528,2
116,Not bad.,5,1083,2
117,Did not like it.,1,5643,2
118,Not bad.,1,707,2
119,Could be better.,1,4077,2
120,Did not like it.,5,5026,2
121,Not bad.,2,5480,2
122,Did not like it.,4,3343,2
123,Not bad.,2,4045,2
124,Excellent product!,5,1338,2
125,Not bad.,1,321,2
126,Did not like it.,2,849,2
